# {
#  "arm_inertia": 0.0,
#  "bus": {
#   "baud": 1000000,
#   "port": "/dev/cu.usbmodem5B790298401"
#  },
#  "centre": 4687,
#  "dry_run": false,
#  "late_samples": 2,
#  "mass_kg": 0.0,
#  "psu_volts": 12.0,
#  "radius_m": 0.0,
#  "registers": {
#   "ACCELERATION": 0,
#   "ANGULAR_RESOLUTION": 1,
#   "CCW_DEAD": 1,
#   "CW_DEAD": 1,
#   "D_COEF": 32,
#   "GOAL_SPEED": 0,
#   "I_COEF": 0,
#   "MAX_ANGLE_LIMIT": 4095,
#   "MAX_TORQUE": 1000,
#   "MIN_ANGLE_LIMIT": 0,
#   "MODE": 0,
#   "OFFSET": 85,
#   "OVERLOAD_TORQUE": 80,
#   "PROTECTION_CURRENT": 310,
#   "PROTECTIVE_TORQUE": 20,
#   "P_COEF": 32,
#   "STARTUP_FORCE": 16,
#   "TORQUE_LIMIT": 300
#  },
#  "requested_hz": 200.0,
#  "sample_hz": 199.96033732698223,
#  "samples": 2499,
#  "seconds": 12.5,
#  "servo_id": 1,
#  "trajectory": "stall",
#  "written": "2026-09-10T21:17:20"
# }
t,target_rad,q_rad,w_rad_s,current_a,volt_v,temp_c,load_raw,counts
8.292000000187372e-06,-1.1014759425526093,-1.5892040962495242,0.0,0.27299999999999996,11.8,33,-300,3651
0.005479000000000012,-1.1014759425526093,-1.5892040962495242,0.0,0.2405,11.8,33,-300,3651
0.010914875000000102,-1.1014759425526093,-1.5892040962495242,0.0,0.2535,11.8,33,-300,3651
0.01577287500000013,-1.1014759425526093,-1.5892040962495242,0.0,0.26,11.8,33,-300,3651
0.020518374999999978,-1.1014759425526093,-1.5892040962495242,0.0,0.2925,11.8,33,-300,3651
0.025126667000000102,-1.1014759425526093,-1.5892040962495242,0.0,0.27949999999999997,11.8,33,-300,3651
0.03077608300000012,-1.1014759425526093,-1.5892040962495242,0.0,0.27949999999999997,11.8,33,-300,3651
0.035223000000000004,-1.1014759425526093,-1.5892040962495242,0.0,0.2665,11.8,33,-300,3651
0.040965083000000124,-1.1014759425526093,-1.5892040962495242,0.0,0.247,11.8,33,-300,3651
0.04577691699999997,-1.1014759425526093,-1.5892040962495242,0.0,0.26,11.8,33,-300,3651
0.050710167000000084,-1.1014759425526093,-1.5892040962495242,0.0,0.27949999999999997,11.8,33,-300,3651
0.05510891700000009,-1.1014759425526093,-1.5892040962495242,0.0,0.26,11.8,33,-300,3651
