# {
#  "arm_inertia": 0.002964,
#  "bus": {
#   "baud": 1000000,
#   "port": "/dev/cu.usbmodem5B790298401"
#  },
#  "centre": 2300,
#  "dry_run": false,
#  "late_samples": 8,
#  "mass_kg": 1.066,
#  "psu_volts": 10.0,
#  "radius_m": 0.09,
#  "registers": {
#   "ACCELERATION": 0,
#   "ANGULAR_RESOLUTION": 1,
#   "CCW_DEAD": 1,
#   "CW_DEAD": 1,
#   "D_COEF": 32,
#   "GOAL_SPEED": 0,
#   "I_COEF": 0,
#   "MAX_ANGLE_LIMIT": 4095,
#   "MAX_TORQUE": 1000,
#   "MIN_ANGLE_LIMIT": 0,
#   "MODE": 0,
#   "OFFSET": 85,
#   "OVERLOAD_TORQUE": 80,
#   "PROTECTION_CURRENT": 310,
#   "PROTECTIVE_TORQUE": 20,
#   "P_COEF": 32,
#   "STARTUP_FORCE": 16,
#   "TORQUE_LIMIT": 1000
#  },
#  "requested_hz": 200.0,
#  "sample_hz": 199.8948644456636,
#  "samples": 7196,
#  "seconds": 36.0,
#  "servo_id": 1,
#  "trajectory": "holdbi",
#  "written": "2026-09-09T10:27:52"
# }
t,target_rad,q_rad,w_rad_s,current_a,volt_v,temp_c,load_raw,counts
1.3833981938660145e-05,-1.1,-1.0615147052168636,0.0,0.104,9.9,25,208,1608
0.005869084037840366,-1.1,-1.0615147052168636,0.0,0.11699999999999999,10.0,25,208,1608
0.010276374989189208,-1.1,-1.0615147052168636,0.0,0.11699999999999999,10.0,25,208,1608
0.015729667036794126,-1.1,-1.0615147052168636,0.0,0.11699999999999999,9.9,25,208,1608
0.020208584028296173,-1.1,-1.0615147052168636,0.0,0.1235,10.100000000000001,25,208,1608
0.02584208396729082,-1.1,-1.0615147052168636,0.0,0.13649999999999998,10.100000000000001,25,208,1608
0.030790667049586773,-1.1,-1.0615147052168636,0.0,0.13,10.100000000000001,25,208,1608
0.03582029207609594,-1.1,-1.0615147052168636,0.0,0.09749999999999999,9.9,25,208,1608
0.04064500005915761,-1.1,-1.0615147052168636,0.0,0.13649999999999998,10.0,25,208,1608
0.04568883404135704,-1.1,-1.0615147052168636,0.0,0.104,10.0,25,208,1608
0.050823334022425115,-1.1,-1.0615147052168636,0.0,0.104,10.0,25,208,1608
0.05580974998883903,-1.1,-1.0615147052168636,0.0,0.13,10.100000000000001,25,208,1608
0.06081037502735853,-1.1,-1.0615147052168636,0.0,0.1105,10.0,25,208,1608
0.06506825005635619,-1.1,-1.0615147052168636,0.0,0.104,10.0,25,208,1608
0.07079754199367017,-1.1,-1.0615147052168636,0.0,0.1105,10.0,25,208,1608
0.07582491706125438,-1.1,-1.0615147052168636,0.0,0.104,9.9,25,208,1608
0.08004849997814745,-1.1,-1.0615147052168636,0.0,0.104,9.9,25,208,1608
0.08600775001104921,-1.1,-1.0615147052168636,0.0,0.13649999999999998,10.100000000000001,25,208,1608
0.09024020901415497,-1.1,-1.0615147052168636,0.0,0.13649999999999998,10.100000000000001,25,208,1608
0.0959406669717282,-1.1,-1.0615147052168636,0.0,0.104,10.0,25,208,1608
0.10011120897252113,-1.1,-1.0615147052168636,0.0,0.13649999999999998,10.100000000000001,25,208,1608
0.1055173750501126,-1.1,-1.0615147052168636,0.0,0.104,10.0,27,208,1608
0.11021491698920727,-1.1,-1.0615147052168636,0.0,0.104,9.9,25,208,1608
0.11595912498887628,-1.1,-1.0615147052168636,0.0,0.09749999999999999,10.0,25,208,1608
0.12069300003349781,-1.1,-1.0615147052168636,0.0,0.104,9.9,25,208,1608
0.12581854197196662,-1.1,-1.0615147052168636,0.0,0.13649999999999998,10.100000000000001,25,208,1608
0.1301883750129491,-1.1,-1.0615147052168636,0.0,0.13,10.100000000000001,25,208,1608
0.13598133402410895,-1.1,-1.0615147052168636,0.0,0.143,10.100000000000001,25,208,1608
0.1407670839689672,-1.1,-1.0615147052168636,0.0,0.104,10.0,25,208,1608
0.1458187090465799,-1.1,-1.0615147052168636,0.0,0.13,10.100000000000001,25,208,1608
0.1508202920667827,-1.1,-1.0615147052168636,0.0,0.104,10.0,25,208,1608
0.15581208397634327,-1.1,-1.0615147052168636,0.0,0.1235,10.100000000000001,25,208,1608
0.16080270905513316,-1.1,-1.0615147052168636,0.0,0.1235,10.100000000000001,25,208,1608
0.1650393339805305,-1.1,-1.0615147052168636,0.0,0.156,10.0,25,208,1608
0.17102029197849333,-1.1,-1.0615147052168636,0.0,0.104,10.0,25,208,1608
0.17535662499722093,-1.1,-1.0615147052168636,0.0,0.104,10.0,25,208,1608
0.18092874996364117,-1.1,-1.0615147052168636,0.0,0.09749999999999999,10.0,25,208,1608
0.18579079199116677,-1.1,-1.0615147052168636,0.0,0.104,9.9,25,208,1608
0.19047420902643353,-1.1,-1.0615147052168636,0.0,0.13649999999999998,10.100000000000001,25,208,1608
0.1959057500353083,-1.1,-1.0615147052168636,0.0,0.1495,10.100000000000001,25,208,1608
0.20044275000691414,-1.1,-1.0615147052168636,0.0,0.104,9.9,25,208,1608
0.20551104203332216,-1.1,-1.0615147052168636,0.0,0.13,10.100000000000001,25,208,1608
0.21091116697061807,-1.1,-1.0615147052168636,0.0,0.1105,9.9,27,208,1608
0.21530250005889684,-1.1,-1.0615147052168636,0.0,0.09749999999999999,10.0,25,208,1608
0.22053845901973546,-1.1,-1.0615147052168636,0.0,0.13,10.100000000000001,25,208,1608
0.22587858396582305,-1.1,-1.0615147052168636,0.0,0.143,10.100000000000001,25,208,1608
0.23019308398943394,-1.1,-1.0615147052168636,0.0,0.11699999999999999,9.8,25,208,1608
0.2353599170455709,-1.1,-1.0615147052168636,0.0,0.09749999999999999,10.0,25,208,1608
0.2403782500186935,-1.1,-1.0615147052168636,0.0,0.143,10.100000000000001,25,208,1608
0.24557379202451557,-1.1,-1.0615147052168636,0.0,0.1235,10.100000000000001,25,208,1608
0.2508835420012474,-1.1,-1.0615147052168636,0.0,0.104,10.0,25,208,1608
0.25579850003123283,-1.1,-1.0615147052168636,0.0,0.143,10.100000000000001,25,208,1608
0.26068720896728337,-1.1,-1.0615147052168636,0.0,0.104,10.0,25,208,1608
0.2657987920101732,-1.1,-1.0615147052168636,0.0,0.1235,10.100000000000001,25,208,1608
0.27085800003260374,-1.1,-1.0615147052168636,0.0,0.143,10.200000000000001,25,208,1608
0.2758431250695139,-1.1,-1.0615147052168636,0.0,0.143,10.100000000000001,25,208,1608
0.2808093340136111,-1.1,-1.0615147052168636,0.0,0.11699999999999999,10.100000000000001,25,208,1608
0.28581729205325246,-1.1,-1.0615147052168636,0.0,0.104,10.0,25,208,1608
0.2907833340577781,-1.1,-1.0615147052168636,0.0,0.13,10.100000000000001,25,208,1608
0.2956237089820206,-1.1,-1.0615147052168636,0.0,0.091,9.9,25,208,1608
0.3003409169614315,-1.1,-1.0615147052168636,0.0,0.13649999999999998,10.100000000000001,25,208,1608
0.3059408749686554,-1.1,-1.0615147052168636,0.0,0.11699999999999999,9.8,25,208,1608
0.3103437090758234,-1.1,-1.0615147052168636,0.0,0.104,10.0,25,208,1608
0.3159247919684276,-1.1,-1.0615147052168636,0.0,0.1495,10.100000000000001,25,208,1608
0.32078887498937547,-1.1,-1.0615147052168636,0.0,0.11699999999999999,10.0,25,208,1608
0.32535670907236636,-1.1,-1.0615147052168636,0.0,0.104,10.0,25,208,1608
0.3308936250396073,-1.1,-1.0615147052168636,0.0,0.13,10.0,25,208,1608
0.33579283405561,-1.1,-1.0615147052168636,0.0,0.11699999999999999,10.100000000000001,25,208,1608
0.3408207499887794,-1.1,-1.0615147052168636,0.0,0.091,9.9,25,208,1608
0.3452854590723291,-1.1,-1.0615147052168636,0.0,0.13,10.100000000000001,25,208,1608
0.35095420898869634,-1.1,-1.0615147052168636,0.0,0.11699999999999999,10.0,25,208,1608
0.3554225000552833,-1.1,-1.0615147052168636,0.0,0.104,10.0,25,208,1608
0.36091549997217953,-1.1,-1.0615147052168636,0.0,0.1105,10.0,25,208,1608
0.365318667027168,-1.1,-1.0615147052168636,0.0,0.1235,10.100000000000001,25,208,1608
0.3706683750497177,-1.1,-1.0615147052168636,0.0,0.13,10.100000000000001,25,208,1608
0.37564158404711634,-1.1,-1.0615147052168636,0.0,0.11699999999999999,10.100000000000001,25,208,1608
0.3808357920497656,-1.1,-1.0615147052168636,0.0,0.143,10.100000000000001,25,208,1608
0.3858076250180602,-1.1,-1.0615147052168636,0.0,0.1235,10.100000000000001,26,208,1608
0.3908179170684889,-1.1,-1.0615147052168636,0.0,0.13649999999999998,10.100000000000001,25,208,1608
0.3957818750059232,-1.1,-1.0615147052168636,0.0,0.13649999999999998,10.100000000000001,25,208,1608
0.4008222919655964,-1.1,-1.0615147052168636,0.0,0.1235,10.100000000000001,25,208,1608
0.40524512506090105,-1.1,-1.0615147052168636,0.0,0.143,10.100000000000001,25,208,1608
0.4108864590525627,-1.1,-1.0615147052168636,0.0,0.09749999999999999,9.9,25,208,1608
0.41579270898364484,-1.1,-1.0615147052168636,0.0,0.1235,10.100000000000001,25,208,1608
0.42066499998327345,-1.1,-1.0615147052168636,0.0,0.104,10.0,25,208,1608
0.4258448750479147,-1.1,-1.0615147052168636,0.0,0.104,9.9,25,208,1608
0.43080087506677955,-1.1,-1.0615147052168636,0.0,0.104,10.0,25,208,1608
0.4358277920400724,-1.1,-1.0615147052168636,0.0,0.13649999999999998,10.100000000000001,25,208,1608
0.44080795906484127,-1.1,-1.0615147052168636,0.0,0.11699999999999999,10.0,25,208,1608
0.4457943340530619,-1.1,-1.0615147052168636,0.0,0.09749999999999999,10.0,25,208,1608
0.45082162506878376,-1.1,-1.0615147052168636,0.0,0.11699999999999999,10.0,25,208,1608
0.4550887090153992,-1.1,-1.0615147052168636,0.0,0.104,9.9,25,208,1608
0.4610011250479147,-1.1,-1.0615147052168636,0.0,0.1105,10.0,25,208,1608
0.46547275001648813,-1.1,-1.0615147052168636,0.0,0.104,9.9,25,208,1608
0.47091395896859467,-1.1,-1.0615147052168636,0.0,0.1235,10.100000000000001,25,208,1608
0.4757718750042841,-1.1,-1.0615147052168636,0.0,0.1105,10.0,25,208,1608
0.48064225004054606,-1.1,-1.0615147052168636,0.0,0.104,10.0,25,208,1608
0.485866375034675,-1.1,-1.0615147052168636,0.0,0.13649999999999998,10.100000000000001,25,208,1608
0.49079895904287696,-1.1,-1.0615147052168636,0.0,0.13,10.100000000000001,25,208,1608
0.4958270840579644,-1.1,-1.0615147052168636,0.0,0.09749999999999999,9.9,25,208,1608
0.5005622090538964,-1.1,-1.0615147052168636,0.0,0.09749999999999999,10.0,25,208,1608
0.5058782920241356,-1.1,-1.0615147052168636,0.0,0.104,9.9,25,208,1608
0.5103370840661228,-1.1,-1.0615147052168636,0.0,0.104,10.0,25,208,1608
0.5153332920745015,-1.1,-1.0615147052168636,0.0,0.143,10.100000000000001,25,208,1608
0.5203970840666443,-1.1,-1.0615147052168636,0.0,0.1235,10.100000000000001,25,208,1608
0.5253943339921534,-1.1,-1.0615147052168636,0.0,0.13649999999999998,10.0,25,208,1608
0.5309190000407398,-1.1,-1.0615147052168636,0.0,0.104,10.0,25,208,1608
0.5351252090185881,-1.1,-1.0615147052168636,0.0,0.104,9.9,25,208,1608
0.5407355420757085,-1.1,-1.0615147052168636,0.0,0.104,9.9,25,208,1608
0.545816709054634,-1.1,-1.0615147052168636,0.0,0.13649999999999998,10.100000000000001,25,208,1608
