# {
#  "arm_inertia": 0.002964,
#  "bus": {
#   "baud": 1000000,
#   "port": "/dev/cu.usbmodem5B790298401"
#  },
#  "centre": 1571,
#  "dry_run": false,
#  "late_samples": 6,
#  "mass_kg": 1.066,
#  "psu_volts": 12.0,
#  "radius_m": 0.09,
#  "registers": {
#   "ACCELERATION": 0,
#   "ANGULAR_RESOLUTION": 1,
#   "CCW_DEAD": 1,
#   "CW_DEAD": 1,
#   "D_COEF": 32,
#   "GOAL_SPEED": 0,
#   "I_COEF": 0,
#   "MAX_ANGLE_LIMIT": 4095,
#   "MAX_TORQUE": 1000,
#   "MIN_ANGLE_LIMIT": 0,
#   "MODE": 0,
#   "OFFSET": 1436,
#   "OVERLOAD_TORQUE": 80,
#   "PROTECTION_CURRENT": 310,
#   "PROTECTIVE_TORQUE": 20,
#   "P_COEF": 32,
#   "STARTUP_FORCE": 16,
#   "TORQUE_LIMIT": 1000
#  },
#  "requested_hz": 200.0,
#  "sample_hz": 199.7999271258103,
#  "samples": 7192,
#  "seconds": 36.0,
#  "servo_id": 21,
#  "trajectory": "holdbi",
#  "written": "2026-09-12T15:23:47"
# }
t,target_rad,q_rad,w_rad_s,current_a,volt_v,temp_c,load_raw,counts
2.540997229516506e-06,-1.1,-1.0676506283684062,0.0,0.078,12.0,28,176,875
0.005999000044539571,-1.1,-1.0676506283684062,0.0,0.08449999999999999,12.0,28,176,875
0.010756958043202758,-1.1,-1.0676506283684062,0.0,0.1105,12.100000000000001,28,176,875
0.01580666599329561,-1.1,-1.0676506283684062,0.0,0.1235,12.100000000000001,30,176,875
0.02078474999871105,-1.1,-1.0676506283684062,0.0,0.1235,12.0,28,176,875
0.025831875042058527,-1.1,-1.0676506283684062,0.0,0.104,12.100000000000001,28,176,875
0.030307125067338347,-1.1,-1.0676506283684062,0.0,0.104,12.100000000000001,28,176,875
0.035943625029176474,-1.1,-1.0676506283684062,0.0,0.11699999999999999,12.100000000000001,28,176,875
0.040798416011966765,-1.1,-1.0676506283684062,0.0,0.1235,12.100000000000001,28,176,875
0.04585925000719726,-1.1,-1.0676506283684062,0.0,0.08449999999999999,12.0,28,176,875
0.05032999999821186,-1.1,-1.0676506283684062,0.0,0.1235,12.100000000000001,29,176,875
0.055134541005827487,-1.1,-1.0676506283684062,0.0,0.1235,12.100000000000001,28,176,875
0.06097937503363937,-1.1,-1.0676506283684062,0.0,0.09749999999999999,12.100000000000001,28,176,875
0.0655199580360204,-1.1,-1.0676506283684062,0.0,0.08449999999999999,12.0,29,176,875
0.07007458305452019,-1.1,-1.0676506283684062,0.0,0.08449999999999999,12.0,28,176,875
0.07602658309042454,-1.1,-1.0676506283684062,0.0,0.1235,12.100000000000001,29,176,875
0.0807993330527097,-1.1,-1.0676506283684062,0.0,0.078,12.0,28,176,875
0.08581412502098829,-1.1,-1.0676506283684062,0.0,0.1235,12.100000000000001,28,176,875
0.09082779102027416,-1.1,-1.0676506283684062,0.0,0.1105,12.100000000000001,28,176,875
0.09583666606340557,-1.1,-1.0676506283684062,0.0,0.13,12.100000000000001,28,176,875
0.10082154104020447,-1.1,-1.0676506283684062,0.0,0.104,12.100000000000001,28,176,875
0.1058372079860419,-1.1,-1.0676506283684062,0.0,0.08449999999999999,12.0,28,176,875
0.11083879100624472,-1.1,-1.0676506283684062,0.0,0.1105,12.100000000000001,28,176,875
0.11583525000605732,-1.1,-1.0676506283684062,0.0,0.1235,12.100000000000001,28,176,875
0.1208306250628084,-1.1,-1.0676506283684062,0.0,0.08449999999999999,12.0,28,176,875
0.12585716601461172,-1.1,-1.0676506283684062,0.0,0.104,12.100000000000001,28,176,875
0.13083462498616427,-1.1,-1.0676506283684062,0.0,0.11699999999999999,12.100000000000001,28,176,875
0.1358458329923451,-1.1,-1.0676506283684062,0.0,0.08449999999999999,12.0,28,176,875
0.14083566598128527,-1.1,-1.0676506283684062,0.0,0.11699999999999999,12.100000000000001,28,176,875
0.14583495806436986,-1.1,-1.0676506283684062,0.0,0.08449999999999999,12.0,28,176,875
0.15084458305500448,-1.1,-1.0676506283684062,0.0,0.104,12.100000000000001,28,176,875
0.1558400409994647,-1.1,-1.0676506283684062,0.0,0.1235,12.100000000000001,28,176,875
0.16083712503314018,-1.1,-1.0676506283684062,0.0,0.1105,12.100000000000001,28,176,875
0.16584120807237923,-1.1,-1.0676506283684062,0.0,0.09749999999999999,12.100000000000001,28,176,875
0.17083825008012354,-1.1,-1.0676506283684062,0.0,0.1235,12.100000000000001,28,176,875
0.17583600000943989,-1.1,-1.0676506283684062,0.0,0.09749999999999999,12.100000000000001,28,176,875
0.18084137502592057,-1.1,-1.0676506283684062,0.0,0.1235,12.100000000000001,28,176,875
0.18583312502596527,-1.1,-1.0676506283684062,0.0,0.1235,12.100000000000001,28,176,875
0.19082558306399733,-1.1,-1.0676506283684062,0.0,0.091,12.100000000000001,28,176,875
0.19583595800213516,-1.1,-1.0676506283684062,0.0,0.1235,12.100000000000001,29,176,875
0.20083125005476177,-1.1,-1.0676506283684062,0.0,0.11699999999999999,12.100000000000001,28,176,875
0.2058312080334872,-1.1,-1.0676506283684062,0.0,0.1235,12.100000000000001,28,176,875
0.2107835829956457,-1.1,-1.0676506283684062,0.0,0.11699999999999999,12.100000000000001,28,176,875
0.21513633301947266,-1.1,-1.0676506283684062,0.0,0.08449999999999999,12.0,28,176,875
0.22100929100997746,-1.1,-1.0676506283684062,0.0,0.11699999999999999,12.100000000000001,28,176,875
0.22579087503254414,-1.1,-1.0676506283684062,0.0,0.08449999999999999,12.0,28,176,875
0.23081237508449703,-1.1,-1.0676506283684062,0.0,0.104,12.100000000000001,28,176,875
0.23583004099782556,-1.1,-1.0676506283684062,0.0,0.078,12.0,28,176,875
0.24080570798832923,-1.1,-1.0676506283684062,0.0,0.104,12.100000000000001,28,176,875
0.2458329580258578,-1.1,-1.0676506283684062,0.0,0.078,12.0,28,176,875
0.25081916607450694,-1.1,-1.0676506283684062,0.0,0.078,12.0,28,176,875
0.25583550008013844,-1.1,-1.0676506283684062,0.0,0.1235,12.100000000000001,28,176,875
0.2608199160313234,-1.1,-1.0676506283684062,0.0,0.1235,12.100000000000001,29,176,875
0.26583929103799164,-1.1,-1.0676506283684062,0.0,0.104,12.100000000000001,28,176,875
0.27083675004541874,-1.1,-1.0676506283684062,0.0,0.078,12.0,28,176,875
